# Residuals   
# Time        	p             	Ux            	Uy            	T             
91            	1.228974e-01	1.685024e-02	3.428307e-02	9.046732e-01
92            	1.241066e-01	1.714816e-02	3.472450e-02	9.046951e-01
93            	1.265116e-01	1.745937e-02	3.512421e-02	9.047159e-01
94            	1.281364e-01	1.778066e-02	3.557798e-02	9.047383e-01
95            	1.311374e-01	1.810260e-02	3.598091e-02	9.047596e-01
96            	1.350895e-01	1.839205e-02	3.648849e-02	9.047802e-01
97            	1.381896e-01	1.870903e-02	3.694156e-02	9.048014e-01
98            	1.393050e-01	1.897904e-02	3.748197e-02	9.048233e-01
99            	1.411170e-01	1.925722e-02	3.801623e-02	9.048430e-01
100           	1.449744e-01	1.950878e-02	3.859486e-02	9.048637e-01
101           	1.480849e-01	1.972706e-02	3.912973e-02	9.048821e-01
102           	1.506385e-01	1.999398e-02	3.962447e-02	9.049002e-01
103           	1.502165e-01	2.026980e-02	4.017465e-02	9.049198e-01
104           	1.499558e-01	2.060120e-02	4.076236e-02	9.049387e-01
105           	1.515412e-01	2.090771e-02	4.122728e-02	9.049561e-01
106           	1.566444e-01	2.130892e-02	4.182498e-02	9.049742e-01
107           	1.606653e-01	2.168217e-02	4.248370e-02	9.049926e-01
108           	1.618929e-01	2.196496e-02	4.293502e-02	9.050112e-01
109           	1.674394e-01	2.224171e-02	4.342377e-02	9.050304e-01
110           	1.744293e-01	2.260281e-02	4.416727e-02	9.050474e-01
111           	1.756143e-01	2.279716e-02	4.472977e-02	9.050627e-01
112           	1.778714e-01	2.286435e-02	4.527700e-02	9.050772e-01
113           	1.831125e-01	2.295974e-02	4.571375e-02	9.050945e-01
114           	1.848356e-01	2.318827e-02	4.686509e-02	9.051094e-01
115           	1.795905e-01	2.315076e-02	4.711736e-02	9.051246e-01
116           	1.820027e-01	2.307060e-02	4.744608e-02	9.051392e-01
117           	1.854291e-01	2.313200e-02	4.791647e-02	9.051528e-01
118           	1.837832e-01	2.322801e-02	4.846466e-02	9.051680e-01
119           	1.820612e-01	2.312304e-02	4.869208e-02	9.051838e-01
120           	1.908077e-01	2.312775e-02	4.897373e-02	9.051990e-01
121           	1.918279e-01	2.339020e-02	4.996765e-02	9.052149e-01
122           	1.836387e-01	2.339084e-02	4.983861e-02	9.052293e-01
123           	1.819334e-01	2.336587e-02	5.009735e-02	9.052452e-01
124           	1.788348e-01	2.350720e-02	5.058679e-02	9.052589e-01
125           	1.762716e-01	2.361522e-02	5.100876e-02	9.052715e-01
126           	1.750690e-01	2.360566e-02	5.119397e-02	9.052845e-01
127           	1.758226e-01	2.364079e-02	5.146893e-02	9.052969e-01
128           	1.745467e-01	2.377095e-02	5.177560e-02	9.053103e-01
129           	1.745861e-01	2.401295e-02	5.236249e-02	9.053239e-01
130           	1.709560e-01	2.418756e-02	5.267537e-02	9.053373e-01
131           	1.661186e-01	2.432651e-02	5.285793e-02	9.053506e-01
132           	1.630024e-01	2.446740e-02	5.299448e-02	9.053618e-01
133           	1.614093e-01	2.458988e-02	5.308342e-02	9.053750e-01
134           	1.614325e-01	2.470923e-02	5.320345e-02	9.053875e-01
135           	1.590207e-01	2.483086e-02	5.336333e-02	9.053998e-01
136           	1.590406e-01	2.497981e-02	5.357964e-02	9.054148e-01
137           	1.581264e-01	2.514583e-02	5.378412e-02	9.054263e-01
138           	1.579869e-01	2.530384e-02	5.403298e-02	9.054379e-01
139           	1.543482e-01	2.547464e-02	5.434235e-02	9.054503e-01
140           	1.521112e-01	2.560374e-02	5.457452e-02	9.054608e-01
141           	1.528669e-01	2.572771e-02	5.477899e-02	9.054728e-01
142           	1.534798e-01	2.585181e-02	5.494756e-02	9.054848e-01
143           	1.513371e-01	2.594127e-02	5.509789e-02	9.054964e-01
144           	1.497209e-01	2.597910e-02	5.508275e-02	9.055098e-01
145           	1.475581e-01	2.603047e-02	5.503457e-02	9.055220e-01
146           	1.454339e-01	2.609648e-02	5.501132e-02	9.055342e-01
147           	1.449619e-01	2.616337e-02	5.498652e-02	9.055484e-01
148           	1.463287e-01	2.626863e-02	5.495023e-02	9.055584e-01
149           	1.478755e-01	2.638209e-02	5.495238e-02	9.055703e-01
150           	1.466034e-01	2.650282e-02	5.499132e-02	9.055841e-01
151           	1.466251e-01	2.650971e-02	5.505002e-02	9.055945e-01
152           	1.467378e-01	2.657681e-02	5.517156e-02	9.056080e-01
153           	1.469491e-01	2.664073e-02	5.536215e-02	9.056231e-01
154           	1.468378e-01	2.670525e-02	5.553345e-02	9.056377e-01
155           	1.480593e-01	2.675955e-02	5.570937e-02	9.056551e-01
156           	1.490623e-01	2.678091e-02	5.579649e-02	9.056707e-01
157           	1.499956e-01	2.676034e-02	5.588700e-02	9.056906e-01
158           	1.491952e-01	2.676905e-02	5.596028e-02	9.057101e-01
159           	1.502002e-01	2.677494e-02	5.605840e-02	9.057325e-01
160           	1.511487e-01	2.683534e-02	5.611104e-02	9.057555e-01
161           	1.516798e-01	2.682921e-02	5.614147e-02	9.057752e-01
162           	1.523825e-01	2.672110e-02	5.617412e-02	9.057926e-01
163           	1.537964e-01	2.654302e-02	5.613641e-02	9.058132e-01
164           	1.547609e-01	2.634517e-02	5.612199e-02	9.058325e-01
165           	1.558961e-01	2.612502e-02	5.603706e-02	9.058550e-01
166           	1.559738e-01	2.590662e-02	5.595623e-02	9.058723e-01
167           	1.545815e-01	2.563550e-02	5.587385e-02	9.058925e-01
168           	1.548544e-01	2.531178e-02	5.580708e-02	9.059110e-01
169           	1.544746e-01	2.496302e-02	5.566497e-02	9.059294e-01
170           	1.527760e-01	2.464669e-02	5.557954e-02	9.059506e-01
171           	1.530487e-01	2.431921e-02	5.535692e-02	9.059697e-01
172           	1.510586e-01	2.397480e-02	5.507257e-02	9.059886e-01
173           	1.503924e-01	2.356210e-02	5.461557e-02	9.060111e-01
174           	1.501769e-01	2.313340e-02	5.414536e-02	9.060212e-01
175           	1.497809e-01	2.271636e-02	5.361470e-02	9.060262e-01
176           	1.490823e-01	2.227499e-02	5.315317e-02	9.060308e-01
177           	1.472117e-01	2.183774e-02	5.260924e-02	9.060354e-01
178           	1.463031e-01	2.139772e-02	5.209948e-02	9.060399e-01
179           	1.445952e-01	2.097318e-02	5.159466e-02	9.060444e-01
180           	1.441802e-01	2.054163e-02	5.120051e-02	9.060487e-01
181           	1.444093e-01	2.018941e-02	5.074199e-02	9.060531e-01
182           	1.441040e-01	1.986018e-02	5.034480e-02	9.060572e-01
183           	1.447501e-01	1.954321e-02	4.977988e-02	9.060613e-01
184           	1.420529e-01	1.929885e-02	4.929520e-02	9.060654e-01
185           	1.411808e-01	1.911213e-02	4.871979e-02	9.060693e-01
186           	1.394907e-01	1.896830e-02	4.825622e-02	9.060731e-01
187           	1.380251e-01	1.886270e-02	4.765212e-02	9.060770e-01
188           	1.350341e-01	1.877986e-02	4.710068e-02	9.060806e-01
189           	1.335053e-01	1.871786e-02	4.641402e-02	9.060842e-01
190           	1.315694e-01	1.863590e-02	4.574932e-02	9.060879e-01
191           	1.315836e-01	1.858749e-02	4.489660e-02	9.060915e-01
192           	1.298962e-01	1.848919e-02	4.410468e-02	9.060949e-01
193           	1.293489e-01	1.842494e-02	4.306501e-02	9.060983e-01
194           	1.282242e-01	1.831084e-02	4.220430e-02	9.061016e-01
195           	1.277410e-01	1.826601e-02	4.100356e-02	9.061048e-01
196           	1.269466e-01	1.819396e-02	4.010487e-02	9.061079e-01
197           	1.242840e-01	1.813867e-02	3.907320e-02	9.061112e-01
198           	1.225193e-01	1.812976e-02	3.825726e-02	9.061142e-01
199           	1.219905e-01	1.819951e-02	3.754323e-02	9.061172e-01
200           	1.206469e-01	1.830324e-02	3.706459e-02	9.061203e-01
201           	1.223687e-01	1.847514e-02	3.674412e-02	9.061233e-01
202           	1.204063e-01	1.871500e-02	3.669048e-02	9.061261e-01
203           	1.231193e-01	1.902417e-02	3.669679e-02	9.061289e-01
204           	1.236082e-01	1.937774e-02	3.695014e-02	9.061318e-01
205           	1.274942e-01	1.976896e-02	3.714870e-02	9.061345e-01
206           	1.264781e-01	2.014771e-02	3.764129e-02	9.061371e-01
207           	1.274335e-01	2.053986e-02	3.796944e-02	9.061398e-01
208           	1.284832e-01	2.091714e-02	3.850836e-02	9.061424e-01
209           	1.303873e-01	2.128348e-02	3.890558e-02	9.061449e-01
210           	1.326853e-01	2.165321e-02	3.949916e-02	9.061473e-01
211           	1.361603e-01	2.205392e-02	3.995672e-02	9.061499e-01
212           	1.377309e-01	2.244108e-02	4.059385e-02	9.061523e-01
213           	1.420228e-01	2.287500e-02	4.109788e-02	9.061546e-01
214           	1.408857e-01	2.327463e-02	4.176847e-02	9.061570e-01
215           	1.422594e-01	2.372286e-02	4.234870e-02	9.061594e-01
216           	1.463068e-01	2.418328e-02	4.304207e-02	9.061616e-01
217           	1.488620e-01	2.466830e-02	4.377674e-02	9.061638e-01
218           	1.520096e-01	2.518920e-02	4.450434e-02	9.061661e-01
219           	1.540586e-01	2.563799e-02	4.515988e-02	9.061683e-01
220           	1.585021e-01	2.605453e-02	4.574152e-02	9.061704e-01
221           	1.600131e-01	2.647633e-02	4.628018e-02	9.061725e-01
